Issue key,Issue id,Status,Created,Updated,Custom field (Implementation Planned End Date),Custom field (Implementation Planned Start Date),Assignee,Custom field (Closed Date),Creator,Custom field (Defect Type),Custom field (Environment),Custom field (Feature Link),Custom field (How I Fixed (Resolution Provided)),Custom field (How It Happened? (Root Cause)),Summary,Custom field (Test Type)
INSBFOS-1641,404745,New,02/Oct/23 9:21 AM,02/Oct/23 9:22 AM,,,C005119,,C006808,Program Error,,INSBFOS-861,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[QUEST-7321][INSBFOS-1641]#Defect 3: Jenkin job failed ,
INSBFOS-1640,404607,Assigned,29/Sep/23 5:18 PM,29/Sep/23 7:27 PM,,,C005015,,C003602,Environment Error,UAT,INSBFOS-1627,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[QUEST-14635/INSBFOS-1640] #Defect 2: Integration to GIS failed,UAT
INSBFOS-1639,404601,READY FOR TEST,29/Sep/23 4:59 PM,29/Sep/23 5:51 PM,,,C006808,,C006808,UI / Cosmetic,,INSBFOS-861,Cosmetic issues resolved by displaying sub class name in POC Limit/Date setup grid in actual case available in Sub class master.,Cosmetic issues - System displaying sub class name in POC Limit/Date setup grid by auto converting into capital letters.     ,[QUEST-7321][INSBFOS-1639]#Defect 3: Two sub classes for Home SmartPLUS in POC setup screens,
INSBFOS-1638,403784,Closed,27/Sep/23 4:04 PM,29/Sep/23 5:12 PM,,,C003602,29/Sep/23 5:12 PM,C003602,Environment Error,UAT,INSBFOS-1627,Due to server Environment variable is not updated. the DB is still pointed to old  DB,The issue is fixed after force starting the server,[QUEST-14635/INSBFOS-1638] #Defect 1: Unable to proceed cover note submission,UAT
INSBFOS-1637,403643,Review In progress,27/Sep/23 2:16 PM,29/Sep/23 5:58 PM,,,C006808,,C006808,Clarification,,INSBFOS-861,"Its a clarification, no fix given.","Its a clarification, no fix given.",[QUEST-7321][INSBFOS-1637]#Defect 2: Expiry date is editable,
INSBFOS-1636,403497,Closed,27/Sep/23 11:47 AM,29/Sep/23 11:22 AM,,,C006808,29/Sep/23 11:22 AM,C006808,Program Error,,INSBFOS-861,Program logic has been modified to send valid parameters to backend in order to construct excel template successfully.,"When selecting some records in Tariff details grid and click export excel button, invalid parameters sent to backend and program logic failed to construct excel template.",[QUEST-7321][INSBFOS-1636]#Defect 1: Export to Excel in Fire Tariff is encountering Error 500,
INSBFOS-1631,399969,READY FOR TEST,20/Sep/23 10:41 AM,25/Sep/23 10:25 AM,,,463346,,463346,Program Error,UAT,INSBFOS-58,Handled by invoking the rule engine call based on the detariff indicator (instead of using respective diamond method) for SharedAPI for passing the final premium to compute the extra coverage amount in Submission service.,"While computing the extra coverage amount using the Submission service, the NCD cut-off date indicator was considered to invoke the rule engine call which has been cleared after Tariff Premium calculation.

Since we used same method for Diamond & Shared API, cut-off date indicator handling logic missed in Shared Api part.",[QUEST-4324/INSBFOS-1631] #Defect 18: Extra Coverage amount is not calculated using new formula when cover note is issued from SoapUI,UAT
INSBFOS-1623,398949,READY FOR TEST,16/Sep/23 3:13 PM,21/Sep/23 12:12 PM,,,462883,,462883,Program Error,,INSBFOS-1348,Program logic changed to update printed status in EDMS system for all kind of documents which is printed via Diamond.,"As per existing program logic, When reprinting 'Printed' status policies, Only Policy & FCI document status were updated as printed in EDMS system.",[Quest-8042/INSBFOS-1348/INSBFOS-1623] Defect 03: EDMS Document Status Is Not Updated After Document Is Printed,Operation Readiness Test (ORT)
INSBFOS-1622,398522,Closed,15/Sep/23 10:58 AM,18/Sep/23 5:34 PM,,,462883,18/Sep/23 5:34 PM,462883,Program Error,Pre-Prod,INSBFOS-1348,performed data patching to reset old value,Data patching was not completed for testing,[Quest-8042/INSBFOS-1348/INSBFOS-1622] Defect 02: Policy Get Points Although Printed Before ,Operation Readiness Test (ORT)
INSBFOS-1620,397483,Closed,13/Sep/23 5:01 PM,15/Sep/23 11:38 AM,,,462883,15/Sep/23 11:38 AM,462883,Environment Error,Pre-Prod,INSBFOS-1348,Updated the EDMS url to UAT URL,DB script was pointing to wrong EDMS url,[Quest-8042/INSBFOS-1348/INSBFOS-1620] Defect 01: Document Status Is Not 'Ready' ,Operation Readiness Test (ORT)
